panda_joint1_velocity,panda_joint2_velocity,panda_joint3_velocity,panda_joint4_velocity,panda_joint5_velocity,panda_joint6_velocity,panda_joint7_velocity,panda_finger_joint1_velocity,panda_finger_joint2_velocity,Timestamp
-1.1381520341863084e-05,-0.001828538799963864,-0.0011815457211187775,-0.0006067425119641581,-0.0007678893120338032,0.0007209408463768335,-9.587045264215503e-05,0.0,0.0,1730273475.56069
-9.483595767236523e-05,0.0003736986829280919,0.0001805392365087936,0.000624740635338688,0.00016208067145521429,-0.0001815768969837563,-6.582768894333775e-05,0.0,0.0,1730273475.6149795
8.088232448386744e-05,-8.471738192254958e-05,-0.0012695655003882738,-0.0002803602405518463,4.112375684424292e-06,0.00017845796523390005,-0.0006538505344191946,0.0,0.0,1730273475.669269
-9.83707638555134e-05,0.00036682535224864116,-6.959735259836063e-05,0.00024417238418183095,-0.00016714189729814607,-0.00011345864953394744,3.673381898647623e-05,0.0,0.0,1730273475.7235587
-0.00018137564630774572,0.00021700634869353068,0.0007540077167032813,0.0009227895904688786,-0.00018192554414309066,6.59063430474295e-05,5.823361392568886e-05,0.0,0.0,1730273475.7778482
0.00020038642764802893,0.0001238357326692544,-0.0008612270285300044,0.0006713279920377618,-3.0500516756981464e-05,1.3848075835674407e-05,0.00010723042504874795,0.0,0.0,1730273475.8321378
0.0004957773462657824,-0.00033771896388388035,0.001058944116945359,-2.7430097117306662e-05,0.0002052085557265181,-0.00028335539927378,0.0006814035037328567,0.0,0.0,1730273475.8864274
-0.00017814393453249094,8.60581389704654e-06,0.00027403993089759253,-0.0009562646875316876,-0.000628525648539787,0.00029622454480148196,-0.0011778925605546897,0.0,0.0,1730273475.940717
0.00041823704400530294,0.00027576068449564355,-0.0003540126760451681,6.209424716935458e-05,3.77343642721649e-05,-0.00011509343943943566,0.0004244264045614625,0.0,0.0,1730273475.9950066
-0.0005030811550699503,0.00042455698761864825,-0.0005706288112651659,-0.0002395853988856638,-0.0003865082379009029,-0.00010992646656029038,-0.00040086861772371444,0.0,0.0,1730273476.0492961
-0.0001179380982977766,3.409827032178235e-05,0.0002683166123098765,0.00038055071022205533,-0.0001682664562663888,-7.101590692910385e-05,0.00014760024124187005,0.0,0.0,1730273476.1035857
0.0002170317509568304,-0.0009452851994128554,0.0005938784471924744,0.00010707392246737248,0.0001870573964103355,-0.0002985605119316329,0.0008659430459969338,0.0,0.0,1730273476.1578753
-0.0009442424161997206,0.00037283386026386973,-0.0005321841666594553,-0.001686782125713358,-0.0004267524128755681,0.0001952005068146297,-0.00034718439173675637,0.0,0.0,1730273476.212165
0.0008483968608545794,-3.089267188740871e-05,0.002702588667427926,0.000947315028401509,0.0007500326587405093,-0.0002741181771788335,0.0019253924355120474,0.0,0.0,1730273476.2664547
-0.0007972310821283302,0.0007070388470382432,0.0003501327957436702,-0.0006710331562545732,-0.0007576804942399072,0.0002334462666197664,-0.002031389781428358,0.0,0.0,1730273476.3207443
0.0010519469598378912,-5.4465322135217916e-05,0.0021072416945621653,0.00015384375187690663,0.0006642766121676648,-0.00020120532024476675,0.0014835662738857031,0.0,0.0,1730273476.3750339
0.00010387021068019174,-0.0005389619974783148,-0.0019601278008648778,0.00048647212724771134,-0.0016782889555736532,-8.866969428717605e-05,-0.0017719591353677054,0.0,0.0,1730273476.4293234
-0.00040400739898383296,0.0009000976322919946,-0.0011988707072064994,-0.0010423037496303813,-0.0002408970073296068,0.00018593096787362096,-0.00046585594762788127,0.0,0.0,1730273476.483613
0.0009546733361891588,-0.0010223396869056829,-0.0007391005702267725,0.001957698706373198,0.0009032497825868807,-0.0005570564477573338,0.0009560340836793738,0.0,0.0,1730273476.5379026
-0.0033618927488395793,0.0018655387028351236,-0.006944839583142608,-0.0016713533144511914,-0.0034827186019516895,0.0011957135458528733,-0.005205580600977763,0.0,0.0,1730273476.5921922
0.0043667410942798265,-0.0013209368872313233,0.008598099398293157,0.002490026141879428,0.00464350742566311,-0.00098553450709569,0.00874035072792393,0.0,0.0,1730273476.6464818
-0.006897019337800151,0.0007827877497914635,-0.014787853303200356,-0.00412232452162411,-0.009499162025343776,0.0021982169261351237,-0.016402146856950076,0.0,0.0,1730273476.7007713
0.02143392947065933,-0.00019012032462740601,0.05502882985759463,0.00856934734608818,0.03771695623221902,-0.008551167443777895,0.06933812723199198,0.0,0.0,1730273476.755061
0.09588490031242215,-0.02211901565879295,0.2038606858175214,0.058799689294485806,0.14181530443433069,-0.03906229122283114,0.24417127095145505,0.0,0.0,1730273476.8093505
0.09905183976253203,-0.025159502972801367,0.20550622486493206,0.06662278962434832,0.14923358853828073,-0.045422687522513785,0.2607343829448637,0.0,0.0,1730273476.86364
0.08947532246318689,-0.025412183191594998,0.19078669523844188,0.06263932323738881,0.14035554502131206,-0.04613493550531228,0.25001570458235634,0.0,0.0,1730273476.9179296
0.09756414912510986,-0.026775654018494383,0.20524661887160353,0.06555495480768815,0.1530699318405181,-0.04738448381062302,0.2598476656159664,0.0,0.0,1730273476.9722192
0.09303755022788539,-0.023401710916088364,0.19575372669458133,0.05988236722455511,0.1408301288046022,-0.040561539408307694,0.25226418390528904,0.0,0.0,1730273477.0265088
