timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
17161616633,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=122510486), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4400268364310884, y=-0.8411775154687506, z=-0.26773893639711305, w=-0.16465914073385252)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.375, y=-44.25, z=-59.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.103515625, y=1.0263671875, z=-0.54443359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17166195010,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=126953044), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.44462748325064866, y=-0.8390856060027341, z=-0.27416151746903417, w=-0.15191184705708505)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.25, y=-44.4375, z=-61.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.13671875, y=0.984375, z=-0.52490234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17182484880,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=143427931), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.44827069093065913, y=-0.8371584843425257, z=-0.2815347443516856, w=-0.13768532045467216)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=13.5, y=-46.5, z=-67.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.212890625, y=0.9609375, z=-0.5244140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17196533084,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=157640696), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4521847774315167, y=-0.8349153401623901, z=-0.288680523316382, w=-0.12291809174612967)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=11.125, y=-49.5, z=-68.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.23974609375, y=0.90087890625, z=-0.50048828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17219032212,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=180171835), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4568815474359003, y=-0.8325302148775202, z=-0.2933782525413269, w=-0.10991766857227578)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.75, y=-51.1875, z=-57.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.19580078125, y=0.8427734375, z=-0.4599609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17242176350,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=203321630), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.46280942176783335, y=-0.8293705963870615, z=-0.2971672259775261, w=-0.09820128704001634)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-7.1875, y=-50.0625, z=-52.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.19580078125, y=0.845703125, z=-0.43798828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17256592208,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=217662810), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4681808046567298, y=-0.8258316344427338, z=-0.30241635863304606, w=-0.0857507535579071)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-9.4375, y=-48.0625, z=-60.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.2373046875, y=0.77001953125, z=-0.4873046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17302127159,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=263083267), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.47264451570706884, y=-0.822794513978176, z=-0.30712128138403544, w=-0.07275210004168725)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-3.6875, y=-52.375, z=-60.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.21533203125, y=0.67822265625, z=-0.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17311493331,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=272464307), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.47770875172426014, y=-0.8195570612180102, z=-0.3104160867854334, w=-0.06133860936283141)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.6875, y=-52.625, z=-54.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.17041015625, y=0.73681640625, z=-0.486328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
17339652173,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185436, nanosec=300712102), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4834852917357092, y=-0.8155533897329313, z=-0.31400300757134864, w=-0.050167244358337915)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-18.125, y=-51.375, z=-55.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.21923828125, y=0.76806640625, z=-0.513671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
