Timestamp,panda_joint1_position,panda_joint2_position,panda_joint3_position,panda_joint4_position,panda_joint5_position,panda_joint6_position,panda_joint7_position,panda_finger_joint1_position,panda_finger_joint2_position,panda_joint1_velocity,panda_joint2_velocity,panda_joint3_velocity,panda_joint4_velocity,panda_joint5_velocity,panda_joint6_velocity,panda_joint7_velocity,panda_finger_joint1_velocity,panda_finger_joint2_velocity,panda_joint1_effort,panda_joint2_effort,panda_joint3_effort,panda_joint4_effort,panda_joint5_effort,panda_joint6_effort,panda_joint7_effort,panda_finger_joint1_effort,panda_finger_joint2_effort
1730276270.9659436,-0.000345042741862437,-0.7848720391089289,-0.0011611220491760642,-2.3563338956071296,0.0028598558157012606,1.566952050401594,0.7938133830494782,0.04047365114092827,0.04047365114092827,0.0003494411705739077,-0.0002342205765605693,-0.001205464964496882,-0.000528042383001839,0.00019670352183878855,-0.00036900391438052433,-0.0002628202161897964,0.0,0.0,-0.05194197595119476,-4.174012660980225,-0.7238137125968933,22.161598205566406,0.582345187664032,2.414518356323242,-0.13550059497356415,0.0,0.0
1730276270.9992778,-0.0003469102405942429,-0.7848720391089455,-0.0011574499281279942,-2.3563341025221303,0.002863319820044311,1.5669497903305807,0.7938121258069988,0.04047365114092827,0.04047365114092827,-0.0002468155739474398,-0.0009250842891057162,0.0009821649682780673,-0.000764573975903824,-0.0003312452272304587,2.7962361003636165e-05,0.0008487621778869382,0.0,0.0,-0.05194197595119476,-4.174012660980225,-0.7238137125968933,22.161598205566406,0.590584933757782,2.404447555541992,-0.09521739184856415,0.0,0.0
1730276271.0326173,-0.00034506212146485747,-0.7848720391089455,-0.001160737964235643,-2.3563266068888082,0.0028652129829980747,1.5669516480957604,0.7938143637627363,0.04047365114092827,0.04047365114092827,0.0010503590041712584,-0.0007993634696551132,-8.689788344812427e-05,0.00037352630557043544,0.00043866235909960995,-0.00031930091737606,-0.003666706373981062,0.0,0.0,-0.08764754235744476,-4.174012660980225,-0.6841408610343933,22.086219787597656,0.573189914226532,2.414518356323242,-0.11535899341106415,0.0,0.0
1730276271.0659904,-0.00034787956365722543,-0.7848745447627284,-0.0011621437137427815,-2.356330396331663,0.002864239202136652,1.566950481402285,0.7938177206961048,0.04047397896647453,0.04047397896647453,-0.0005533498242762069,-0.0007222600199277129,0.0007628826415665318,0.0002406967201334525,0.00020802510816373613,-0.00033777716710085197,-0.00014125523672157622,0.0,0.0,-0.05194197595119476,-4.138307094573975,-0.6841408610343933,22.121925354003906,0.582345187664032,2.414518356323242,-0.14557139575481415,0.0,0.0
1730276271.0992758,-0.0003504278555154616,-0.7848692550487375,-0.0011653362252966087,-2.3563332484249813,0.0028642338955622544,1.5669506678909932,0.7938121258070071,0.04047397896647453,0.04047397896647453,-0.0010430322539079601,0.0013500159975008753,-0.005845237199465861,-0.00045532490022726036,0.0005778080589823333,0.0008169992929965073,-0.001124248880187808,0.0,0.0,-0.012269124388694763,-4.213685512542725,-0.6841408610343933,22.161598205566406,0.582345187664032,2.394376754760742,-0.09521739184856415,0.0,0.0
1730276271.1326118,-0.0003453861070172831,-0.7848738206766568,-0.001162596556014796,-2.3563286051686276,0.0028605571264522043,1.5669505677364735,0.7938097861260175,0.04047397896647453,0.04047397896647453,0.0011461195685895373,-0.0006328884603820056,-0.0007771608497259177,0.0009610103710358614,0.00011991842026607407,-0.00015194779099867665,-0.0012286902018401877,0.0,0.0,-0.08764754235744476,-4.138307094573975,-0.6484352946281433,22.086219787597656,0.582345187664032,2.424589157104492,-0.07416026294231415,0.0,0.0
1730276271.1659436,-0.00034543424641900986,-0.7848720381277989,-0.0011635564592098586,-2.356328627996668,0.0028638782623869427,1.5669542883010554,0.7938166017723006,0.04047397896647453,0.04047397896647453,-0.00013546718302832363,0.0006915242149484039,-0.001442809378754289,0.0005310812028407408,-0.00011766728265770072,0.001092637680481121,0.0006063328641175883,0.0,0.0,-0.05194197595119476,-4.174012660980225,-0.7238137125968933,22.121925354003906,0.582345187664032,2.394376754760742,-0.13550059497356415,0.0,0.0
1730276271.1992776,-0.0003476463025545022,-0.7848692550491865,-0.0011635711559811433,-2.356325920752188,0.0028599924866962775,1.5669486249372482,0.7938143637634009,0.04047397896647453,0.04047397896647453,0.0003943934354123805,0.0007316231170103431,-0.0004800033330249719,0.0009050767410502966,2.1249805941062425e-05,0.00017056368177758077,0.0002255031971392756,0.0,0.0,-0.05194197595119476,-4.213685512542725,-0.6484352946281433,22.086219787597656,0.590584933757782,2.414518356323242,-0.11535899341106415,0.0,0.0
1730276271.2325804,-0.0003503606173354605,-0.7848745447627284,-0.0011604122266049499,-2.356334094493508,0.0028622584564553244,1.5669517077622837,0.7938133786524887,0.04047397896647453,0.04047397896647453,-0.0007855962829744342,-0.004913104951866953,0.0013732341363507986,-0.0012211292157327614,-3.573434999176152e-05,0.0006470194056971617,0.002290726505635783,0.0,0.0,-0.012269124388694763,-4.138307094573975,-0.7238137125968933,22.161598205566406,0.590584933757782,2.404447555541992,-0.13550059497356415,0.0,0.0
1730276271.2659433,-0.00034775329296389616,-0.7848720391088957,-0.001166676148995404,-2.356327883162193,0.002864239748725789,1.5669519103529765,0.7938188396196616,0.04047365114092827,0.04047365114092827,-0.0010630904290159732,0.00044346011704186276,-0.0058694848364626755,0.001432924035941181,0.00043860009660343037,-3.301373277550278e-05,0.001722715038110231,0.0,0.0,-0.012269124388694763,-4.174012660980225,-0.6484352946281433,22.086219787597656,0.582345187664032,2.414518356323242,-0.15564219653606415,0.0,0.0
1730276271.2993257,-0.00035105108121967547,-0.7848745090053917,-0.0011638181190615914,-2.356329274891214,0.002862266029149553,1.5669472960587618,0.7938165619820357,0.04047365114092827,0.04047365114092827,-0.0019285668992789346,-0.00034549851325306707,0.0002426624123402292,0.00022106433898151426,-0.0002990943873976549,-0.0004816713727807682,0.00030410518520206494,0.0,0.0,0.023436442017555237,-4.138307094573975,-0.6841408610343933,22.121925354003906,0.599740207195282,2.424589157104492,-0.13550059497356415,0.0,0.0
