panda_joint1_position,panda_joint2_position,panda_joint3_position,panda_joint4_position,panda_joint5_position,panda_joint6_position,panda_joint7_position,panda_finger_joint1_position,panda_finger_joint2_position,Timestamp
0.0006194193293705291,-0.7844263035637324,-0.0016722796427689171,-2.359589590075769,0.005087421559851209,1.5722572124594905,0.7950956649044509,0.04046544053987662,0.04046544053987662,1730270158.663793
0.0006142284795371464,-0.784428422432759,-0.001670403857195986,-2.3595917836881406,0.005086481500432866,1.5722549402920505,0.7950965231529256,0.04046544082314995,0.04046544082314995,1730270158.7151272
0.0006146209678142636,-0.7844303517270235,-0.0016721537532572172,-2.359589717433609,0.005087424679337898,1.5722547558570468,0.7950970095174932,0.04046543981956968,0.04046543981956968,1730270158.7664611
0.0006127802716220901,-0.7844300127505096,-0.0016688270122380646,-2.359587359934501,0.005085999108143077,1.572256556181081,0.7950966111148086,0.04046544319974567,0.04046544319974567,1730270158.8177953
0.000611936580978368,-0.784430364924824,-0.0016744858774627859,-2.35958973687842,0.005084881219963126,1.5722556203663334,0.7950972572589189,0.04046543154471812,0.04046543154471812,1730270158.8691292
0.0006174584409206331,-0.7844283219422452,-0.001670557692580108,-2.359588237368174,0.005084739544384515,1.5722550198901728,0.7950971924950785,0.040465453452897995,0.040465453452897995,1730270158.9204633
0.0006132539309153561,-0.7844300119425425,-0.0016720175127281998,-2.3595905133648833,0.0050842523874768675,1.5722563466574029,0.795099014773476,0.040465154052591205,0.040465154052591205,1730270158.9717972
0.0006127657563254414,-0.7844295306382549,-0.0016735983431097315,-2.3595931153361884,0.005083629827667472,1.5722572756142907,0.7950987268373119,0.040465453452897995,0.040465453452897995,1730270159.0231314
0.0006142997125161665,-0.7844302048112638,-0.0016694928104582362,-2.3595896209619163,0.00508634786001545,1.572253923652239,0.7950962161270162,0.0404654315447181,0.0404654315447181,1730270159.0744653
0.0006140190268703089,-0.7844298278939301,-0.0016740565796714508,-2.3595914651301912,0.005083994318518724,1.5722562628146775,0.7950993929476311,0.04046544319974567,0.04046544319974567,1730270159.1257994
0.0006213289951255191,-0.784433230107199,-0.0016665221244701834,-2.3595827023331593,0.005081314957826962,1.5722537034565602,0.7950847413790003,0.04046543981956968,0.04046543981956968,1730270159.1771333
0.0006093017529274326,-0.7844144983147154,-0.0016436025966908422,-2.3596099162089366,0.005128440682086346,1.5722529579174105,0.795181785201412,0.040465440823149935,0.040465440823149935,1730270159.2284675
0.0006993800845445278,-0.7844951000148752,-0.0016091049154579602,-2.3594887257343053,0.005101948898876725,1.5722456262063913,0.7950497521078222,0.04046544053987661,0.04046544053987661,1730270159.2798014
0.0025516326495911147,-0.7842858551886203,0.003930914942919915,-2.358905942671389,0.009683045774961763,1.5713248910677198,0.8029851125044615,0.04046544061750664,0.04046544061750664,1730270159.3311355
0.020322659687288757,-0.7870954113545844,0.043276844199258854,-2.3472915991793415,0.03622177497450415,1.5638949177084154,0.8487750917970046,0.04046544059683705,0.04046544059683705,1730270159.3824694
0.039068691958745114,-0.7921943426806481,0.08417602008287073,-2.3328980173813907,0.0656930015475735,1.5543399469525785,0.9009269294725945,0.04046544060219475,0.04046544060219475,1730270159.4338036
0.057774192076439135,-0.7967617838898736,0.12507014158420277,-2.3198032841812988,0.09489005052805044,1.5445780401637859,0.9527635661485653,0.040465440600842874,0.040465440600842874,1730270159.4851375
0.07644613824633364,-0.8022411654432559,0.16587705241566786,-2.3058824232209876,0.12416562224160616,1.534552959171938,1.0042725943782251,0.040465440601174435,0.040465440601174435,1730270159.5364716
0.09511021482304287,-0.8065084769059632,0.20671822744176577,-2.2924784392232147,0.15346659617839487,1.5249304801737555,1.0561498327646153,0.04046544060109566,0.04046544060109566,1730270159.5878055
0.1137951907014185,-0.8117542849941279,0.2474410156062002,-2.2786590955521997,0.18248889716621286,1.5152579531627122,1.108423634905718,0.040465440601113706,0.040465440601113706,1730270159.6391397
0.1323846541309847,-0.8167614392128443,0.2883522759687894,-2.26519260144633,0.21175374112049222,1.5058210843302602,1.1601539019830271,0.04046544060110975,0.04046544060110975,1730270159.6904736
0.15104848629512066,-0.8211841914000382,0.32912857130676226,-2.2515019074119413,0.24077687324793978,1.4961414796611066,1.2123289775065627,0.04046544060111057,0.04046544060111057,1730270159.7418077
0.1696150905950975,-0.8266744199667684,0.36992471749048605,-2.2380539476529395,0.26997079395161716,1.4864682713062372,1.264299208357426,0.04046544060111039,0.04046544060111039,1730270159.7931416
0.1882158361492936,-0.8313604817512816,0.41065322692940215,-2.22417586371822,0.29938899682170006,1.4769205857832135,1.3161252574779918,0.040465440601110424,0.040465440601110424,1730270159.8444757
0.2069573033184209,-0.8361201811865158,0.4514629721856262,-2.2108157176173204,0.32860460345997755,1.4671828391486008,1.3683682027063728,0.040465440601110396,0.040465440601110396,1730270159.8958097
0.22561758422541456,-0.8416144367983469,0.4923081127745037,-2.196950879824672,0.35803508836482545,1.4576225862168044,1.420491583594009,0.040465440601110396,0.040465440601110396,1730270159.9471438
0.24410653506027866,-0.8457729997280345,0.533052876029398,-2.1834812623203357,0.38734570204824315,1.447676497301597,1.4726716163782672,0.040465440601110396,0.040465440601110396,1730270159.9984777
0.2629770982999758,-0.8510702959265088,0.5739130921900821,-2.1698414973420026,0.41663620658459133,1.4382726166494395,1.5246751250944564,0.040465440601110396,0.040465440601110396,1730270160.0498118
0.2815613654941742,-0.8562275831887532,0.6147813228971929,-2.156137592004253,0.4460504327185983,1.428609334940394,1.5768341556365613,0.040465440601110396,0.040465440601110396,1730270160.1011457
0.3000391341007518,-0.8606100652920912,0.6552751678027883,-2.1426476630997,0.47485803239320107,1.4191134611755065,1.628581245387091,0.040465440601110396,0.040465440601110396,1730270160.15248
0.31872006571116185,-0.8663342640631562,0.6956063835576394,-2.1290860491736736,0.5034841583583451,1.4094501831867636,1.67903261667609,0.040465440601110396,0.040465440601110396,1730270160.2038138
0.32652400045871227,-0.8695710591055195,0.7099248732124581,-2.1245221881495935,0.5115713619931318,1.406664458690886,1.6954972140943392,0.040465440601110396,0.040465440601110396,1730270160.255148
0.326128864961762,-0.8692206304438592,0.7092820256663976,-2.1253624763517753,0.5109647681386071,1.4068647828608805,1.6945976916861842,0.040465440601110396,0.040465440601110396,1730270160.3064818
0.32631301214872865,-0.869313138166601,0.7095991812196863,-2.125207562051262,0.511150669690583,1.4068186541783438,1.6949452159162133,0.040465440601110396,0.040465440601110396,1730270160.357816
0.32626914510665056,-0.869286776636423,0.7095307616765736,-2.1252564579648885,0.5111057176527163,1.4068435702182305,1.6948514468992073,0.040465440601110396,0.040465440601110396,1730270160.40915
0.32627976426741,-0.8692914316011054,0.7095479700558582,-2.1252558622268154,0.511113577366263,1.4068437270460894,1.6948641313222559,0.040465440601110396,0.040465440601110396,1730270160.460484
0.32627997393837277,-0.8692902066293733,0.7095445327532557,-2.1252568140976154,0.5111106883900927,1.4068475469531758,1.694854728157411,0.040465440601110396,0.040465440601110396,1730270160.5118182
0.32627841760039233,-0.8692849341946519,0.7095453096676652,-2.1252623405907007,0.511111694093131,1.4068536968086742,1.69485016535709,0.040465440601110396,0.040465440601110396,1730270160.563152
0.3262785579256253,-0.8692844931112915,0.7095432300501651,-2.1252647251709993,0.511108447607169,1.406859379522134,1.6948461148892988,0.040465440601110396,0.040465440601110396,1730270160.6144862
0.3262779760474025,-0.8692853657319423,0.7095447876212921,-2.1252638756333795,0.5111084977180943,1.4068644363375589,1.6948460144329516,0.040465440601110396,0.040465440601110396,1730270160.6658201
0.32628040536621833,-0.8692843581768898,0.7095444259498737,-2.125270989964581,0.5111061263227951,1.4068658910173764,1.6948437792144986,0.040465440601110396,0.040465440601110396,1730270160.7171543
0.32627379934369344,-0.8692811448925211,0.7095415363221738,-2.125279376702621,0.5111069747273226,1.4068715324643157,1.6948442705032118,0.040465440601110396,0.040465440601110396,1730270160.7684882
0.32627594676287175,-0.8692806473861232,0.7095438401548592,-2.125282226123739,0.5111066907525892,1.406873219719332,1.694844141678374,0.040465440601110396,0.040465440601110396,1730270160.8198223
0.32627718888828794,-0.8692798081199982,0.7095458687492361,-2.125280934666763,0.5111071168216316,1.4068738232482474,1.6948400669084402,0.040465440601110396,0.040465440601110396,1730270160.8711562
