timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730347204547649723,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=547271109), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6245219590363621, y=-0.11950879552318189, z=0.38153701778110827, w=0.6709094384018465)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=11.6875, y=0.25, z=8.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.33349609375, y=0.5859375, z=0.6162109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204569999456,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=569683328), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6253218214830277, y=-0.11987623791046036, z=0.3833109847646085, w=0.6690851934696876)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=11.5625, y=0.625, z=7.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.33935546875, y=0.59619140625, z=0.61328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204592678989,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=592245066), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6258629964693986, y=-0.12030192764201138, z=0.384648781329252, w=0.667733682599495)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=9.125, y=0.8125, z=5.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.32958984375, y=0.599609375, z=0.60546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204607490745,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=607245367), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6262326780075954, y=-0.12030259340672228, z=0.38562749119415085, w=0.6668218330636433)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=5.0, y=0.1875, z=3.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.337890625, y=0.599609375, z=0.59619140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204630165715,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=629701325), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6262332775863063, y=-0.12024167220711729, z=0.38574993317207174, w=0.6667614351221063)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.3125, y=0.0, z=0.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.34130859375, y=0.607421875, z=0.591796875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204652576544,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=652260964), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.62602798699762, y=-0.11950500132020472, z=0.38561419731412333, w=0.667165050782001)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-4.625, y=-0.3125, z=-2.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.341796875, y=0.60400390625, z=0.59912109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204667498414,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=667262270), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6256624704050795, y=-0.11840651571416001, z=0.3850653132168224, w=0.6680202652017945)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-7.625, y=-0.8125, z=-5.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.34716796875, y=0.595703125, z=0.60400390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204697590437,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=697335155), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6248895960429453, y=-0.11731176046049432, z=0.3842845181369783, w=0.6693850556556926)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-9.4375, y=-1.5625, z=-8.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.34814453125, y=0.59765625, z=0.61572265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204712647697,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=712223161), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6238429105100767, y=-0.11633348864418414, z=0.38342443633933093, w=0.6710232812980905)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-9.75, y=-1.75, z=-10.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.337890625, y=0.5966796875, z=0.61181640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204727492129,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=727179795), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6226173813821612, y=-0.11578327345181451, z=0.3828111181285085, w=0.6726049939056383)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-8.5625, y=-1.875, z=-11.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.3251953125, y=0.607421875, z=0.59912109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
