Trail Name,Timestamp
R_r1deg180h0,1729977522.4767652
R_r1deg180h0,1729977522.276848
R_r1deg180h0,1729977534.110094
R_r1deg180h0,1729977534.1767647
R_r1deg180h0,1729977534.3767638
R_r1deg180h0,1729977532.576764
R_r1deg180h0,1729977532.8100662
R_r1deg180h0,1729977532.3100948
R_r1deg180h0,1729977532.6100802
R_r1deg180h0,1729977532.7767646
R_r1deg180h0,1729977532.843448
R_r1deg180h0,1729977532.1434283
R_r1deg180h0,1729977532.976749
R_r1deg180h0,1729977527.343428
R_r1deg180h0,1729977527.6435888
R_r1deg180h0,1729977533.2434473
R_r1deg180h0,1729977518.5101962
R_r1deg180h0,1729977518.6100972
R_r1deg180h0,1729977518.7101245
R_r1deg180h0,1729977518.7767622
R_r1deg180h0,1729977518.8434274
R_r1deg180h0,1729977519.1101024
R_r1deg180h0,1729977519.2434297
R_r1deg180h0,1729977519.47672
R_r1deg180h0,1729977519.810146
R_r1deg180h0,1729977518.6767638
R_r1deg180h0,1729977520.0767632
R_r1deg180h0,1729977520.176762
R_r1deg180h0,1729977519.3434324
R_r1deg180h0,1729977519.6434324
R_r1deg180h0,1729977520.043433
R_r1deg180h0,1729977521.8434317
R_r1deg180h0,1729977520.1434326
R_r1deg180h0,1729977520.3434324
R_r1deg180h0,1729977520.4101229
R_r1deg180h0,1729977521.810187
R_r1deg180h0,1729977522.4434316
R_r1deg180h0,1729977522.643432
R_r1deg180h0,1729977522.0101757
R_r1deg180h0,1729977522.5101175
R_r1deg180h0,1729977522.710119
R_r1deg180h0,1729977522.7767663
R_r1deg180h0,1729977522.876765
R_r1deg180h0,1729977522.976791
R_r1deg180h0,1729977523.0434322
R_r1deg180h0,1729977523.2767444
R_r1deg180h0,1729977524.943431
R_r1deg180h0,1729977523.7767663
R_r1deg180h0,1729977524.0767636
R_r1deg180h0,1729977524.4767652
R_r1deg180h0,1729977524.6434324
R_r1deg180h0,1729977525.0100973
R_r1deg180h0,1729977525.1767426
R_r1deg180h0,1729977525.276771
R_r1deg180h0,1729977525.910108
R_r1deg180h0,1729977524.7434287
R_r1deg180h0,1729977526.1434312
R_r1deg180h0,1729977525.7101316
R_r1deg180h0,1729977525.776775
R_r1deg180h0,1729977526.2101595
R_r1deg180h0,1729977526.3767543
R_r1deg180h0,1729977527.076888
R_r1deg180h0,1729977527.3767636
R_r1deg180h0,1729977526.443431
R_r1deg180h0,1729977526.5100613
R_r1deg180h0,1729977526.776803
R_r1deg180h0,1729977528.076764
R_r1deg180h0,1729977528.2767773
R_r1deg180h0,1729977527.0434484
R_r1deg180h0,1729977527.1101005
R_r1deg180h0,1729977527.7768662
R_r1deg180h0,1729977528.110076
R_r1deg180h0,1729977528.2100985
R_r1deg180h0,1729977528.3100965
R_r1deg180h0,1729977528.543429
R_r1deg180h0,1729977528.0100994
R_r1deg180h0,1729977523.3434324
R_r1deg180h0,1729977523.6102078
R_r1deg180h0,1729977518.9100952
R_r1deg180h0,1729977532.643448
R_r1deg180h0,1729977532.443427
R_r1deg180h0,1729977532.876712
R_r1deg180h0,1729977532.2434306
R_r1deg180h0,1729977532.3768592
R_r1deg180h0,1729977533.7101111
R_r1deg180h0,1729977533.0434475
R_r1deg180h0,1729977533.543451
R_r1deg180h0,1729977533.8100965
R_r1deg180h0,1729977533.9768524
R_r1deg180h0,1729977534.0434487
R_r1deg180h0,1729977534.9767642
R_r1deg180h0,1729977533.5768583
R_r1deg180h0,1729977534.2767706
R_r1deg180h0,1729977534.4434476
R_r1deg180h0,1729977535.1434464
R_r1deg180h0,1729977535.5101702
R_r1deg180h0,1729977535.943447
R_r1deg180h0,1729977534.5101664
R_r1deg180h0,1729977534.876766
R_r1deg180h0,1729977535.4100938
R_r1deg180h0,1729977535.9100933
R_r1deg180h0,1729977536.210251
R_r1deg180h0,1729977536.276767
R_r1deg180h0,1729977535.8434465
R_r1deg180h0,1729977536.0434475
R_r1deg180h0,1729977535.710142
R_r1deg180h0,1729977535.6767642
R_r1deg180h0,1729977518.74344
R_r1deg180h0,1729977519.6100948
R_r1deg180h0,1729977519.710094
R_r1deg180h0,1729977518.5434313
R_r1deg180h0,1729977518.810213
R_r1deg180h0,1729977523.7434306
R_r1deg180h0,1729977523.8434343
R_r1deg180h0,1729977524.8101065
R_r1deg180h0,1729977519.7767644
R_r1deg180h0,1729977519.9101338
R_r1deg180h0,1729977520.2434304
R_r1deg180h0,1729977520.7434337
R_r1deg180h0,1729977521.7768452
R_r1deg180h0,1729977522.210142
R_r1deg180h0,1729977523.4434285
R_r1deg180h0,1729977524.6767652
R_r1deg180h0,1729977534.2434478
R_r1deg180h0,1729977534.576727
R_r1deg180h0,1729977535.6100936
R_r1deg180h0,1729977535.8767376
R_r1deg180h0,1729977535.9767642
R_r1deg180h0,1729977536.243428
R_r1deg180h0,1729977532.110095
R_r1deg180h0,1729977532.1767468
R_r1deg180h0,1729977533.0100946
R_r1deg180h0,1729977534.1434295
R_r1deg180h0,1729977535.3100948
R_r1deg180h0,1729977536.0767636
R_r1deg180h0,1729977540.710102
R_r1deg180h0,1729977540.7767622
R_r1deg180h0,1729977541.076716
R_r1deg180h0,1729977541.310097
R_r1deg180h0,1729977543.7768216
R_r1deg180h0,1729977544.0100963
R_r1deg180h0,1729977544.1434283
R_r1deg180h0,1729977544.276777
R_r1deg180h0,1729977544.343429
R_r1deg180h0,1729977544.8767622
R_r1deg180h0,1729977545.0767694
R_r1deg180h0,1729977545.1434302
R_r1deg180h0,1729977555.2434487
R_r1deg180h0,1729977558.4434266
R_r1deg180h0,1729977560.2767427
R_r1deg180h0,1729977560.3767648
R_r1deg180h0,1729977560.7768185
R_r1deg180h0,1729977561.376835
R_r1deg180h0,1729977561.6100934
R_r1deg180h0,1729977561.9768589
R_r1deg180h0,1729977558.510094
R_r1deg180h0,1729977558.7100935
R_r1deg180h0,1729977559.0767636
R_r1deg180h0,1729977561.0100937
R_r1deg180h0,1729977566.543427
